recv_time,scenario,notes,topic,payload_time,battery_voltage,battery_soc,battery_capacity_ah,solar_voltage,solar_current,solar_power,solar_energy_wh,estimator_available_current
2026-07-12T11:09:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T11:09:00Z,4.120,90.000,100.0,24.00,0.000,0.000,0.000,0.000
2026-07-12T11:09:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T11:09:00Z,4.120,90.000,100.0,24.00,0.000,0.000,0.000,0.000
2026-07-12T11:10:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T11:10:00Z,4.112,88.964,100.0,24.00,0.052,1.256,0.021,0.000
2026-07-12T11:10:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T11:10:00Z,4.114,89.286,100.0,24.00,0.052,1.256,0.021,0.000
2026-07-12T11:11:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T11:11:00Z,4.103,87.930,100.0,24.00,0.105,2.509,0.063,0.000
2026-07-12T11:11:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T11:11:00Z,4.109,88.573,100.0,24.00,0.105,2.509,0.063,0.000
2026-07-12T11:12:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T11:12:00Z,4.095,86.898,100.0,24.00,0.156,3.754,0.125,0.000
2026-07-12T11:12:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T11:12:00Z,4.103,87.863,100.0,24.00,0.156,3.754,0.125,0.000
2026-07-12T11:13:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T11:13:00Z,4.087,85.867,100.0,24.00,0.208,4.990,0.208,0.000
2026-07-12T11:13:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T11:13:00Z,4.097,87.154,100.0,24.00,0.208,4.990,0.208,0.000
2026-07-12T11:14:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T11:14:00Z,4.079,84.838,100.0,24.00,0.259,6.212,0.312,0.000
2026-07-12T11:14:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T11:14:00Z,4.092,86.447,100.0,24.00,0.259,6.212,0.312,0.000
2026-07-12T11:15:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T11:15:00Z,4.070,83.811,100.0,24.00,0.309,7.416,0.436,0.000
2026-07-12T11:15:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T11:15:00Z,4.086,85.741,100.0,24.00,0.309,7.416,0.436,0.000
2026-07-12T11:16:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T11:16:00Z,4.062,82.785,100.0,24.00,0.358,8.601,0.579,0.000
2026-07-12T11:16:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T11:16:00Z,4.080,85.037,100.0,24.00,0.358,8.601,0.579,0.000
2026-07-12T11:17:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T11:17:00Z,4.054,81.761,100.0,24.00,0.407,9.762,0.742,0.000
2026-07-12T11:17:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T11:17:00Z,4.075,84.334,100.0,24.00,0.407,9.762,0.742,0.000
2026-07-12T11:18:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T11:18:00Z,4.046,80.738,100.0,24.00,0.454,10.896,0.923,0.000
2026-07-12T11:18:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T11:18:00Z,4.069,83.633,100.0,24.00,0.454,10.896,0.923,0.000
2026-07-12T11:19:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T11:19:00Z,4.038,79.717,100.0,24.00,0.500,12.000,1.123,0.000
2026-07-12T11:19:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T11:19:00Z,4.063,82.933,100.0,24.00,0.500,12.000,1.123,0.000
2026-07-12T11:20:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T11:20:00Z,4.030,78.697,100.0,24.00,0.545,13.071,1.341,0.000
2026-07-12T11:20:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T11:20:00Z,4.058,82.235,100.0,24.00,0.545,13.071,1.341,0.000
2026-07-12T11:21:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T11:21:00Z,4.021,77.678,100.0,24.00,0.588,14.107,1.576,0.000
2026-07-12T11:21:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T11:21:00Z,4.052,81.538,100.0,24.00,0.588,14.107,1.576,0.000
2026-07-12T11:22:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T11:22:00Z,4.013,76.660,100.0,24.00,0.629,15.104,1.828,0.000
2026-07-12T11:22:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T11:22:00Z,4.047,80.841,100.0,24.00,0.629,15.104,1.828,0.000
2026-07-12T11:23:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T11:23:00Z,4.005,75.643,100.0,24.00,0.669,16.059,2.096,0.000
2026-07-12T11:23:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T11:23:00Z,4.041,80.146,100.0,24.00,0.669,16.059,2.096,0.000
2026-07-12T11:24:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T11:24:00Z,3.997,74.627,100.0,24.00,0.707,16.971,2.378,0.000
2026-07-12T11:24:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T11:24:00Z,4.036,79.452,100.0,24.00,0.707,16.971,2.378,0.000
2026-07-12T11:25:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T11:25:00Z,3.989,73.612,100.0,24.00,0.743,17.835,2.676,0.000
2026-07-12T11:25:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T11:25:00Z,4.030,78.758,100.0,24.00,0.743,17.835,2.676,0.000
2026-07-12T11:26:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T11:26:00Z,3.981,72.597,100.0,24.00,0.777,18.652,2.987,0.000
2026-07-12T11:26:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T11:26:00Z,4.025,78.065,100.0,24.00,0.777,18.652,2.987,0.000
2026-07-12T11:27:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T11:27:00Z,3.973,71.583,100.0,24.00,0.809,19.416,3.310,0.000
2026-07-12T11:27:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T11:27:00Z,4.019,77.373,100.0,24.00,0.809,19.416,3.310,0.000
2026-07-12T11:28:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T11:28:00Z,3.965,70.569,100.0,24.00,0.839,20.128,3.646,0.000
2026-07-12T11:28:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T11:28:00Z,4.013,76.681,100.0,24.00,0.839,20.128,3.646,0.000
2026-07-12T11:29:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T11:29:00Z,3.956,69.555,100.0,24.00,0.866,20.785,3.992,0.000
2026-07-12T11:29:00Z,managed,bfs_sim,esp32/telemetry/battery,2026-07-12T11:29:00Z,4.008,75.989,100.0,24.00,0.866,20.785,3.992,0.000
2026-07-12T11:30:00Z,unmanaged,bfs_sim,esp32/telemetry/battery,2026-07-12T11:30:00Z,3.948,68.542,100.0,24.00,0.891,21.384,4.348,0.000
